time,power,OA Wetbulb Temp
55410,12828600.2,12
55425,12820396.93,12
55440,12812027.77,12
55455,12791803.5,11.98611111
55470,12771595.14,11.97222222
55485,12751402.68,11.95833333
55500,12731226.14,11.94444444
55515,12744077.18,11.94444444
55530,12756888.44,11.94444444
55545,12769659.93,11.94444444
55560,12782391.64,11.94444444
55575,12774639.49,11.93055556
55590,12766887.35,11.91666667
55605,12759135.2,11.90277778
55620,12751383.06,11.88888889
55635,12751447.18,11.84722222
55650,12751501.78,11.80555556
55665,12751546.88,11.76388889
55680,12751582.47,11.72222222
55695,12771428.06,11.72222222
55710,12791207.4,11.72222222
55725,12810920.5,11.72222222
55740,12830567.35,11.72222222
55755,12862568.06,11.70833333
55770,12894477.28,11.69444444
55785,12926295.02,11.68055556
55800,12958021.28,11.66666667
55815,13019877.51,11.65277778
55830,13081831.96,11.63888889
55845,13143884.63,11.625
55860,13206035.51,11.61111111
55875,13251173.28,11.59722222
55890,13296374.96,11.58333333
55905,13341640.57,11.56944444
55920,13386970.1,11.55555556
55935,13411585.36,11.59722222
55950,13436217.09,11.63888889
55965,13460865.28,11.68055556
55980,13485529.92,11.72222222
55995,13500828.93,11.76388889
56010,13516136.17,11.80555556
56025,13531451.64,11.84722222
56040,13546775.34,11.88888889
56055,13549630.67,11.875
56070,13552480.77,11.86111111
56085,13555325.62,11.84722222
56100,13558165.24,11.83333333
56115,13529597.5,11.81944444
56130,13500989.6,11.80555556
56145,13472341.54,11.79166667
56160,13443653.3,11.77777778
56175,13399097.98,11.72222222
56190,13354614.62,11.66666667
56205,13310203.22,11.61111111
56220,13265863.8,11.55555556
56235,13243461.83,11.54166667
56250,13221070.77,11.52777778
56265,13198690.61,11.51388889
56280,13176321.36,11.5
56295,13034171.11,11.5
56310,12892419.37,11.5
56325,12751066.13,11.5
56340,12610111.39,11.5
56355,12490332.8,11.51388889
56370,12370554.21,11.52777778
56385,12250775.62,11.54166667
56400,12130997.03,11.55555556
56415,12011641.69,11.56944444
56430,11892286.34,11.58333333
56445,11772931,11.59722222
