time,HTWR AVG,CT Fan SPD,CTW Flow,HTW Flow
65400.0,87.22,69.3,4688.1,7415.3
65520.0,96.15,72.8,6316.3,6501.4
65640.0,97.14,88.5,8926.7,6285.5
65760.0,95.5,99.3,8030.5,6279.3
65880.0,96.85,99.3,8030.5,6362.6
66000.0,98.19,96.8,10042.7,6389.3
66120.0,97.84,97.3,12812.1,6459.1
66240.0,97.45,99.3,11689.0,6442.0
66360.0,97.45,99.3,11906.8,6398.8
66480.0,97.45,99.3,12156.8,6362.3
66600.0,96.71,99.3,12020.1,6244.5
66720.0,96.02,99.3,12017.6,6090.4
66840.0,95.87,99.3,12017.6,5897.1
66960.0,95.71,99.3,11986.3,5812.5
67080.0,95.71,99.3,12000.4,5750.4
67200.0,96.05,99.3,11489.9,5713.0
67320.0,96.44,99.3,10954.0,5687.2
67440.0,96.62,99.3,10417.9,5597.0
67560.0,96.62,99.3,9629.2,4559.9
67680.0,95.07,99.3,8874.6,3556.6
67800.0,88.96,99.1,7748.2,3313.7
67920.0,83.72,93.6,6139.0,3246.6
68040.0,81.95,82.7,5580.2,3331.1
68160.0,81.55,73.2,5580.2,3438.9
68280.0,82.27,67.0,5580.2,3482.0
68400.0,82.61,63.1,5219.6,3809.8
68520.0,82.76,61.8,4869.6,4716.4
68640.0,84.28,60.3,5202.2,5127.3
68760.0,92.0,62.0,5202.2,5273.3
68880.0,96.52,65.6,5304.4,5414.4
69000.0,96.93,71.1,6663.6,5489.8
69120.0,96.46,82.7,8438.6,4995.9
69240.0,93.49,97.4,9329.3,4251.1
69360.0,87.37,99.0,9538.8,3960.5
69480.0,83.87,99.0,8883.9,5018.1
69600.0,84.01,98.5,8714.7,5470.6
69720.0,92.07,94.7,8463.4,5691.8
69840.0,96.77,91.6,8567.4,5494.3
69960.0,96.77,93.5,8567.4,4292.2
70080.0,92.38,96.9,8058.7,3466.5
70200.0,85.6,98.5,6831.5,4221.3
70320.0,81.92,94.7,5293.4,5031.5
70440.0,84.45,84.4,5077.2,5388.8
70560.0,93.89,72.9,5325.5,5488.3
70680.0,96.99,64.6,6597.2,5657.6
70800.0,96.99,68.7,8094.4,5890.4
70920.0,97.33,86.3,8657.4,6033.0
71040.0,97.76,98.7,8767.8,5289.5
71160.0,93.48,97.8,9506.3,3909.0
71280.0,86.07,99.2,9993.3,3444.8
71400.0,82.17,97.9,9898.0,3654.8
71520.0,80.94,91.2,9110.1,4852.2
71640.0,83.07,80.9,7645.0,5424.1
71760.0,91.39,69.6,5715.1,5596.5
71880.0,96.71,59.6,5454.9,5616.2
72000.0,96.9,56.2,6696.1,5575.5
