time,PT-04C,PT-04B,PT-04A,DPT-07
11610.0,22.0,22.3,22.3,24.0
11640.0,22.0,22.3,22.3,24.0
11670.0,22.0,22.3,22.3,24.1
11700.0,22.0,22.3,22.3,24.1
11730.0,22.0,22.3,22.3,24.2
11760.0,22.0,22.3,22.3,24.4
11790.0,22.0,22.3,22.3,24.5
11820.0,22.0,22.3,22.3,24.4
11850.0,22.0,22.3,22.3,24.5
11880.0,22.0,22.3,22.3,24.4
11910.0,22.0,22.3,22.3,24.3
11940.0,22.0,22.3,22.3,24.1
11970.0,22.0,22.3,22.3,23.9
12000.0,22.0,22.3,22.3,23.8
12030.0,22.0,22.3,22.3,23.5
12060.0,22.0,22.3,22.3,23.5
12090.0,22.0,22.3,22.3,23.4
12120.0,22.0,22.3,22.3,23.4
12150.0,22.0,22.3,22.3,23.7
12180.0,22.0,22.3,22.3,23.7
12210.0,22.0,22.3,22.3,23.8
12240.0,22.0,22.3,22.3,24.0
12270.0,22.0,22.3,22.3,24.5
12300.0,22.0,22.3,22.3,24.7
12330.0,22.0,22.3,22.3,24.7
12360.0,22.0,22.3,22.3,24.8
12390.0,22.0,22.3,22.3,24.5
12420.0,22.0,22.3,22.3,24.2
12450.0,22.0,22.3,22.3,24.0
12480.0,22.0,22.3,22.3,23.7
12510.0,22.0,22.3,22.3,23.6
12540.0,22.0,22.3,22.3,23.6
12570.0,22.0,22.3,22.3,23.6
12600.0,22.0,22.3,22.3,23.5
12630.0,22.0,22.3,22.3,23.4
12660.0,22.0,22.3,22.3,23.7
12690.0,22.0,22.3,22.3,23.7
12720.0,22.0,22.3,22.3,23.9
12750.0,22.0,22.3,22.3,24.1
12780.0,22.0,22.3,22.3,24.7
12810.0,22.0,22.3,22.3,24.8
12840.0,22.0,22.3,22.3,24.9
12870.0,22.0,22.3,22.3,24.7
12900.0,22.0,22.3,22.3,24.2
12930.0,22.0,22.3,22.3,23.9
12960.0,22.0,22.3,22.3,24.0
12990.0,22.0,22.3,22.3,24.0
13020.0,22.0,22.3,22.3,23.7
13050.0,22.0,22.3,22.3,23.3
13080.0,22.1,22.3,22.3,23.3
13110.0,22.1,22.3,22.3,23.8
13140.0,22.1,22.3,22.3,23.8
13170.0,22.0,22.3,22.3,23.7
13200.0,22.0,22.3,22.3,23.6
13230.0,22.0,22.3,22.3,23.9
13260.0,22.0,22.3,22.3,24.0
13290.0,22.0,22.3,22.3,24.4
13320.0,22.0,22.3,22.3,24.3
13350.0,22.0,22.3,22.3,24.4
13380.0,22.0,22.3,22.3,24.3
13410.0,22.0,22.3,22.3,24.3
13440.0,22.0,22.3,22.3,24.4
13470.0,22.0,22.3,22.3,24.5
13500.0,22.0,22.3,22.3,24.3
13530.0,22.0,22.3,22.3,24.1
13560.0,22.0,22.3,22.3,24.0
13590.0,22.0,22.3,22.3,23.9
13620.0,22.0,22.3,22.3,23.7
13650.0,22.0,22.3,22.3,23.3
13680.0,22.1,22.3,22.4,23.1
13710.0,21.9,22.3,22.3,23.1
13740.0,21.9,22.2,22.3,23.3
13770.0,21.9,22.2,22.3,23.4
13801.0,22.1,22.3,22.3,23.6
13831.0,22.1,22.3,22.3,23.8
13861.0,22.1,22.3,22.3,24.5
13891.0,22.1,22.3,22.3,24.8
13921.0,22.1,22.3,22.3,24.8
13951.0,22.1,22.3,22.3,24.7
13981.0,22.1,22.3,22.3,24.4
14011.0,22.1,22.3,22.3,23.8
14041.0,22.1,22.3,22.3,23.7
14071.0,22.1,22.3,22.3,23.6
14101.0,22.1,22.3,22.3,23.4
14131.0,22.1,22.3,22.3,23.2
14161.0,22.1,22.3,22.3,23.2
14191.0,22.1,22.3,22.3,23.2
14221.0,22.1,22.3,22.3,24.3
14251.0,22.1,22.3,22.3,25.3
14281.0,22.1,22.3,22.3,25.0
14311.0,22.1,22.3,22.4,24.6
14341.0,22.2,22.5,22.4,24.1
14371.0,22.2,22.5,22.5,23.3
14401.0,22.3,22.6,22.5,23.5
14431.0,22.3,22.6,22.6,23.6
14461.0,22.3,22.6,22.6,23.9
14491.0,22.4,22.7,22.6,23.9
14521.0,22.4,22.7,22.6,24.0
14551.0,22.4,22.7,22.6,23.9
14581.0,22.4,22.7,22.6,24.0
14611.0,22.4,22.7,22.6,24.0
14641.0,22.4,22.7,22.6,24.0
14671.0,22.4,22.7,22.6,23.9
14701.0,22.4,22.7,22.6,23.9
14731.0,22.4,22.7,22.6,23.9
14761.0,22.4,22.7,22.6,24.3
14791.0,22.4,22.7,22.6,24.6
14821.0,22.4,22.7,22.6,24.6
14851.0,22.4,22.7,22.6,24.4
14881.0,22.4,22.7,22.6,24.3
14911.0,22.4,22.7,22.6,24.3
14941.0,22.4,22.7,22.6,24.2
14971.0,22.4,22.7,22.6,23.7
15001.0,22.4,22.7,22.6,23.5
15031.0,22.4,22.7,22.6,23.7
15061.0,22.4,22.7,22.6,23.7
15091.0,22.4,22.7,22.6,23.7
15121.0,22.4,22.7,22.6,23.8
15151.0,22.4,22.7,22.6,23.9
15181.0,22.4,22.7,22.6,23.9
15211.0,22.4,22.7,22.6,23.9
15241.0,22.4,22.7,22.6,23.9
15271.0,22.4,22.7,22.6,23.9
15301.0,22.4,22.7,22.6,23.8
15331.0,22.4,22.7,22.6,23.9
15361.0,22.4,22.7,22.6,23.8
15391.0,22.4,22.7,22.6,23.9
